source,shot_id,competition,season,date,team,player,period,minute,second,location_x,location_y,distance_to_goal_m,shot_angle_deg,location_zone,body_part,technique,free_kick_type,shot_type_raw,play_pattern_raw,xg,gk_distance_to_goal_m,outcome,is_goal,team_strength_proxy
huggingface,5bd1f0633e6ed2c7b2a49d77d35bdcb8,1. Bundesliga,2015/2016,,313055823130605821,8304694753923136095,1,0,59,101.0,38.9,17.4,23.7,,Right Foot,Normal,indirect,Open Play,From Free Kick,0.0651,,Saved,0,
huggingface,c716c324b88366d2757be8148662f8cf,1. Bundesliga,2015/2016,,-4267845635578185539,5013963876113260167,1,0,58,114.7,24.8,14.72,9.89,,Left Foot,Half Volley,indirect,Open Play,From Free Kick,0.0107,,Blocked,0,
huggingface,5cc0eecf8fbe62d410baee171987f2fb,1. Bundesliga,2015/2016,,9155697546158019564,-2634407589545823759,1,0,42,93.2,39.6,24.51,16.97,,Right Foot,Normal,indirect,Open Play,From Free Kick,0.0329,,Off T,0,
huggingface,d63cc23b29b056b6490afaf73bf1f0a3,1. Bundesliga,2015/2016,,-4267845635578185539,-1867708421227982201,1,1,46,108.0,33.1,12.66,28.66,,Head,Normal,indirect,Open Play,From Free Kick,0.0267,,Saved,0,
huggingface,e5de8bdf551bd388345ba91620f383d6,1. Bundesliga,2015/2016,,2780786797556400176,8664063729398650522,1,1,56,105.6,28.2,17.02,19.21,,Right Foot,Volley,indirect,Open Play,From Free Kick,0.0535,,Blocked,0,
huggingface,ef7af8e5899e0f6d0797325b6b6c26c9,1. Bundesliga,2015/2016,,-8076855738834347335,-404094544093148880,1,1,49,96.6,58.4,27.22,12.14,,Right Foot,Normal,indirect,Open Play,From Free Kick,0.0093,,Saved,0,
huggingface,65ccbc09558f211826db0a2dadef4887,1. Bundesliga,2015/2016,,-2318988405098371308,-3638640806201192407,1,1,10,99.0,32.4,20.42,19.19,,Left Foot,Volley,indirect,Open Play,From Free Kick,0.0321,,Wayward,0,
huggingface,09fc979eef4c42a2a14a7d4dcca50775,1. Bundesliga,2015/2016,,2780786797556400176,-7655929212915928571,1,1,58,106.9,37.5,12.19,32.92,,Head,Normal,indirect,Open Play,From Free Kick,0.0317,,Saved,0,
huggingface,964f216c8256744025827cb44abc8d24,1. Bundesliga,2015/2016,,-3916061289001868728,2386705467473855034,1,1,18,113.4,37.0,6.63,55.3,,Other,Normal,indirect,Open Play,From Free Kick,0.1114,,Wayward,0,
huggingface,a1a53ea3c85df6408eb9fac155537c07,1. Bundesliga,2015/2016,,-2318988405098371308,-3638640806201192407,1,1,8,92.3,37.1,25.47,16.26,,Right Foot,Half Volley,indirect,Open Play,From Free Kick,0.0201,,Saved,0,
huggingface,11dacc1b3e42cea40087c03085b210fc,1. Bundesliga,2015/2016,,-4267845635578185539,4204974942384549359,1,1,5,113.0,36.5,7.16,51.06,,Head,Normal,indirect,Open Play,From Free Kick,0.1227,,Saved,0,
huggingface,c45eba1cc529d127d154f86b8d379e7e,1. Bundesliga,2015/2016,,313055823130605821,-2294205327489812068,1,1,32,107.7,37.8,11.43,35.08,,Head,Normal,indirect,Open Play,From Free Kick,0.0478,,Wayward,0,
huggingface,81b51f2ae338fee9291dd4aad4510346,1. Bundesliga,2015/2016,,-2318988405098371308,997615530110330611,1,1,13,95.6,48.7,23.69,16.59,,Right Foot,Half Volley,indirect,Open Play,From Free Kick,0.0273,,Wayward,0,
huggingface,3146b6e85503509f5092eb7a9f6f966b,1. Bundesliga,2015/2016,,4332426948072143687,-6211073486064178107,1,1,17,107.7,15.2,25.31,7.47,,Right Foot,Normal,direct,Free Kick,From Free Kick,0.0077,,Saved,0,
huggingface,29e792273bb82b5407793a698ae13fd0,1. Bundesliga,2015/2016,,9177819911629786846,947753082885727286,1,2,53,106.8,43.8,12.56,31.45,,Right Foot,Volley,indirect,Open Play,From Free Kick,0.0815,,Wayward,0,
huggingface,f3a4bb7752406d2f148ab2cec8957d88,1. Bundesliga,2015/2016,,-5297650355144055400,-7571872275599476636,1,2,10,90.9,37.7,26.69,15.56,,Right Foot,Normal,direct,Free Kick,From Free Kick,0.048,,Post,0,
huggingface,d0d2c4e30736bab680b149506a6fca1b,1. Bundesliga,2015/2016,,-3607351217002065859,369880954979622267,1,2,16,112.7,48.0,9.9,29.97,,Head,Normal,indirect,Open Play,From Free Kick,0.058,,Wayward,0,
huggingface,7116127f12f2600987a927644ba99258,1. Bundesliga,2015/2016,,-5297650355144055400,-4937516449161910779,1,2,58,99.0,53.8,22.98,15.27,,Right Foot,Normal,indirect,Open Play,From Free Kick,0.035,,Off T,0,
huggingface,df9a349e11829d2c1ababcbd6569340d,1. Bundesliga,2015/2016,,-5297650355144055400,-7721376357687768628,1,2,46,103.0,57.3,22.18,13.37,,Right Foot,Half Volley,indirect,Open Play,From Free Kick,0.0194,,Off T,0,
huggingface,b58ea742f76f24464d6d3bbde0b87ef2,1. Bundesliga,2015/2016,,-3916061289001868728,1093539696772155169,1,2,21,118.5,49.0,8.34,10.12,,Right Foot,Normal,indirect,Open Play,From Free Kick,0.0628,,Wayward,0,
huggingface,7ecdc920c85f1dede2bd814452c74d19,1. Bundesliga,2015/2016,,-7441162076979990183,4871025168187271836,1,2,4,104.0,31.4,16.61,22.18,,Head,Normal,indirect,Open Play,From Free Kick,0.0157,,Saved Off Target,0,
huggingface,177227d6ef8872da4e2e2fc9d123517f,1. Bundesliga,2015/2016,,-5297650355144055400,6751353430168130558,1,2,13,100.9,32.8,18.66,20.88,,Right Foot,Half Volley,indirect,Open Play,From Free Kick,0.0342,,Blocked,0,
huggingface,b58ecd91a15ed4a6acd8db873ebce34c,1. Bundesliga,2015/2016,,313055823130605821,8304694753923136095,1,2,55,90.4,32.6,27.9,14.51,,Right Foot,Normal,direct,Free Kick,From Free Kick,0.0379,,Saved,0,
huggingface,5c42fe31d1b8b5ff660213021f083c44,1. Bundesliga,2015/2016,,7873123807514034333,4366135488501353064,1,2,12,113.6,40.7,5.89,63.57,,Head,Normal,indirect,Open Play,From Free Kick,0.1155,,Off T,0,
huggingface,21ae8f05a3adafaa8e97b7c54760bcaf,1. Bundesliga,2015/2016,,-1742170709584215722,-7340733760235028241,1,2,18,107.8,37.4,11.41,34.96,,Left Foot,Half Volley,indirect,Open Play,From Free Kick,0.0805,,Off T,0,
huggingface,1b9ca95adadc67ee03b3524d0e9816ce,1. Bundesliga,2015/2016,,2780786797556400176,8664063729398650522,1,2,18,97.0,44.0,21.35,19.18,,Left Foot,Half Volley,indirect,Open Play,From Free Kick,0.0624,,Saved,0,
huggingface,92d68f721d90ac2445f7d6ed2121e236,1. Bundesliga,2015/2016,,4332426948072143687,-5155872764820276371,1,2,2,107.0,22.3,20.08,12.57,,Left Foot,Half Volley,indirect,Open Play,From Free Kick,0.0167,,Off T,0,
huggingface,4ad39e688e08b70023fc38e36f292660,1. Bundesliga,2015/2016,,2780786797556400176,-5320216636528724211,1,3,44,103.9,27.8,18.47,18.19,,Right Foot,Normal,indirect,Open Play,From Free Kick,0.0909,,Saved,0,
huggingface,7151833366b44d0047617ef300c3273b,1. Bundesliga,2015/2016,,-8076855738834347335,2888494972583794477,1,3,56,99.2,42.1,19.12,21.56,,Right Foot,Normal,direct,Free Kick,From Free Kick,0.0825,,Blocked,0,
huggingface,df71908959ba715e80e772cb4cd5c908,1. Bundesliga,2015/2016,,-8076855738834347335,5357248517409795501,1,3,13,89.5,41.5,27.92,14.91,,Right Foot,Volley,indirect,Open Play,From Free Kick,0.0143,,Off T,0,
